Email,Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Bounced At,Bounce Code,Bounce Reason,Failure Ignored At,First Name,Last Name,Job Title,Group,Manager Name,Manager Email,Location,Division,Employee Number,IP Address,IP Location,Browser,Browser Version,Operating System,Email Template,Created At,Time Zone,Phone Number,Extension,Mobile Phone Number,Current PPP,Archived At,Risk Score,Locale,Organization,Department,Language,Comment,Employee Start Date
user00001@example.invalid,2026-03-03T16:29:00Z,,2026-03-03T16:00:00Z,,,,2026-03-03T12:48:00Z,,2026-03-22T17:08:00Z,2026-03-02T09:11:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00001,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00001@example.invalid,,,,,,,,,2026-03-21T13:04:00Z,2026-03-10T12:45:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00001,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00001@example.invalid,,,,,,,,,2026-03-21T08:26:00Z,2026-03-06T08:02:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00001,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00001@example.invalid,,,,,,,,,2026-03-20T14:14:00Z,2026-03-27T11:36:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00001,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00001@example.invalid,,,,,,,,,2026-03-13T09:59:00Z,,2026-03-23T13:57:00Z,550,mailbox unavailable,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00001,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00021@example.invalid,,,,,,,,2026-03-24T09:18:00Z,2026-03-06T07:57:00Z,2026-03-22T17:21:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00021,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00021@example.invalid,,,,,,,,,2026-03-24T08:56:00Z,2026-03-24T17:26:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00021,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00021@example.invalid,,,,,,,,,2026-03-03T18:07:00Z,2026-03-11T08:07:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00021,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00031@example.invalid,2026-03-06T18:38:00Z,,2026-03-23T17:30:00Z,,,,,2026-03-06T11:46:00Z,2026-03-12T07:24:00Z,2026-03-16T15:20:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00031,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00031@example.invalid,,,,,,,2026-03-05T14:21:00Z,2026-03-24T17:54:00Z,2026-03-27T07:46:00Z,2026-03-11T13:20:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00031,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00031@example.invalid,,,,,,,,,2026-03-14T14:08:00Z,2026-03-15T18:38:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00031,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00031@example.invalid,,,,,,,2026-03-05T16:45:00Z,,2026-03-16T15:35:00Z,2026-03-02T14:44:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00031,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00031@example.invalid,,,,,,,2026-03-25T09:40:00Z,,2026-03-15T15:21:00Z,2026-03-22T08:19:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00031,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00041@example.invalid,,,,,,,2026-03-02T10:19:00Z,,2026-03-12T14:41:00Z,2026-03-23T17:05:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00041,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00041@example.invalid,,,,,,,,,2026-03-11T13:41:00Z,2026-03-02T12:36:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00041,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00041@example.invalid,,,,,,,2026-03-07T12:32:00Z,,2026-03-16T09:42:00Z,2026-03-05T16:52:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00041,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00051@example.invalid,2026-03-25T11:27:00Z,,2026-03-03T08:20:00Z,2026-03-11T13:18:00Z,,,,,2026-03-26T11:30:00Z,2026-03-18T11:35:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00051,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00051@example.invalid,,,,,,,2026-03-03T16:56:00Z,,2026-03-19T07:11:00Z,2026-03-25T09:54:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00051,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00051@example.invalid,,,,,,,2026-03-12T18:17:00Z,,2026-03-13T12:29:00Z,2026-03-02T12:27:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00051,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00051@example.invalid,,,,,,,,,2026-03-23T09:20:00Z,2026-03-23T11:00:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00051,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00061@example.invalid,2026-03-26T14:56:00Z,,2026-03-16T17:37:00Z,,,,2026-03-24T18:58:00Z,2026-03-17T14:27:00Z,2026-03-12T16:44:00Z,2026-03-10T15:28:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00061,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00061@example.invalid,,,,,,,2026-03-05T13:40:00Z,,2026-03-12T09:29:00Z,2026-03-21T14:58:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00061,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00061@example.invalid,,,,,,,2026-03-26T16:57:00Z,,2026-03-27T14:50:00Z,2026-03-12T16:57:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00061,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00061@example.invalid,,,,,,,2026-03-05T09:18:00Z,,2026-03-11T13:16:00Z,2026-03-26T18:14:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00061,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00061@example.invalid,,,,,,,,,2026-03-22T16:19:00Z,2026-03-09T12:57:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00061,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00071@example.invalid,,,,,,,2026-03-10T16:31:00Z,2026-03-14T15:00:00Z,2026-03-27T07:51:00Z,2026-03-07T09:41:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00071,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00071@example.invalid,,,,,,,2026-03-23T12:19:00Z,,2026-03-05T14:07:00Z,2026-03-10T17:30:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00071,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00071@example.invalid,,,,,,,2026-03-19T12:51:00Z,,2026-03-21T16:59:00Z,2026-03-20T17:24:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00071,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00081@example.invalid,,,,,,,,,2026-03-20T14:14:00Z,2026-03-15T18:18:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00081,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
