email,department
user00001@example.invalid,Sales & Marketing
user00011@example.invalid,Sales & Marketing
user00021@example.invalid,Sales & Marketing
user00031@example.invalid,Sales & Marketing
user00041@example.invalid,Sales & Marketing
user00051@example.invalid,Sales & Marketing
user00061@example.invalid,Sales & Marketing
user00071@example.invalid,Sales & Marketing
user00081@example.invalid,Sales & Marketing
user00091@example.invalid,Sales & Marketing
user00101@example.invalid,Sales & Marketing
user00111@example.invalid,Sales & Marketing
user00121@example.invalid,Sales & Marketing
user00131@example.invalid,Sales & Marketing
user00141@example.invalid,Sales & Marketing
user00151@example.invalid,Sales & Marketing
user00161@example.invalid,Sales & Marketing
user00171@example.invalid,Sales & Marketing
user00181@example.invalid,Sales & Marketing
user00191@example.invalid,Sales & Marketing
user00201@example.invalid,Sales & Marketing
user00211@example.invalid,Sales & Marketing
user00221@example.invalid,Sales & Marketing
user00231@example.invalid,Sales & Marketing
user00241@example.invalid,Sales & Marketing
user00251@example.invalid,Sales & Marketing
user00261@example.invalid,Sales & Marketing
user00271@example.invalid,Sales & Marketing
user00281@example.invalid,Finance
user00291@example.invalid,Finance
user00301@example.invalid,Finance
user00311@example.invalid,Finance
user00321@example.invalid,Finance
user00331@example.invalid,Finance
user00341@example.invalid,Finance
user00351@example.invalid,Finance
user00361@example.invalid,Finance
user00371@example.invalid,Finance
user00381@example.invalid,Finance
user00391@example.invalid,Finance
user00401@example.invalid,Finance
user00411@example.invalid,Finance
user00421@example.invalid,IT
user00431@example.invalid,IT
user00441@example.invalid,IT
user00451@example.invalid,IT
user00461@example.invalid,IT
user00471@example.invalid,IT
user00481@example.invalid,IT
user00491@example.invalid,IT
user00501@example.invalid,IT
user00511@example.invalid,IT
user00521@example.invalid,R&D
user00531@example.invalid,R&D
user00541@example.invalid,R&D
user00551@example.invalid,R&D
user00561@example.invalid,R&D
user00571@example.invalid,R&D
user00581@example.invalid,R&D
user00591@example.invalid,R&D
user00601@example.invalid,R&D
user00611@example.invalid,R&D
user00621@example.invalid,R&D
user00631@example.invalid,R&D
user00641@example.invalid,R&D
user00651@example.invalid,R&D
user00661@example.invalid,R&D
user00671@example.invalid,R&D
user00681@example.invalid,R&D
user00691@example.invalid,R&D
user00701@example.invalid,R&D
user00711@example.invalid,R&D
user00721@example.invalid,R&D
user00731@example.invalid,R&D
user00741@example.invalid,Operations Site A
user00751@example.invalid,Operations Site A
user00761@example.invalid,Operations Site A
user00771@example.invalid,Operations Site A
user00781@example.invalid,Operations Site A
user00791@example.invalid,Operations Site A
user00801@example.invalid,Operations Site A
user00811@example.invalid,Operations Site A
user00821@example.invalid,Operations Site A
user00831@example.invalid,Operations Site A
user00841@example.invalid,Operations Site A
user00851@example.invalid,Operations Site A
user00861@example.invalid,Operations Site A
user00871@example.invalid,Operations Site A
